,birthDate,birthPlace,assistences,field_goal_percentage,field_goal_percentage_3_pts,free_throw_percentage,games,player_efficiency_rating,points,total_rebounds,win_shares,effective_field_goal_percentage,college,draft_pick,draft_round,draft_team,draft_year,height,highSchool,name,position,shoots,weight,salary
1827,"July 14, 1972","Atlantic City, New Jersey",0.3,33.3,25.0,64.7,66,7.7,2.0,1.4,0.0,35.1,University of Massachusetts Amherst,30.0,2.0,Detroit Pistons,1995,6-7,"Atlantic City in Atlantic City, New Jersey",Lou Roe,Small Forward,Right,220lb,181637.33
1828,"February 6, 1971","Detroit, Michigan",0.6,53.6,25.8,56.2,298,15.4,7.4,4.3,11.1,54.5,"University of Arkansas at Little Rock, Tennessee State University",11.0,1.0,Seattle SuperSonics,1994,6-11,"Northwestern in Detroit, Michigan",Carlos Rogers,Power Forward and Center,Right,220lb,1470918.8
1829,"December 30, 1963","Fullerton, California",0.4,47.2,0.0,67.9,69,9.7,3.6,1.5,0.4,47.2,"Stanford University, University of California, Irvine",34.0,2.0,Sacramento Kings,1986,6-10,"LaQuinta in Westminster, California",Johnny Rogers,Power Forward,Right,225lb,75000.0
1830,"June 20, 1971","Durham, North Carolina",2.0,45.1,34.7,69.0,866,14.4,10.9,4.5,38.8,49.4,Wake Forest University,9.0,1.0,Denver Nuggets,1993,6-7,"Hillside in Durham, North Carolina",Rodney Rogers,Small Forward and Power Forward,Left,235lb,2226800.0
1831,"August 19, 1973","Linden, Alabama",0.4,48.3,50.0,53.2,137,12.1,4.8,3.5,1.7,48.4,University of Alabama,22.0,1.0,Vancouver Grizzlies,1996,6-10,"Linden in Linden, Alabama",Roy Rogers,Power Forward,Right,235lb,659628.0
1832,"June 16, 1955","Winter Haven, Florida",0.6,52.2,0.0,70.0,1156,13.6,5.4,5.8,63.9,52.2,Clemson University,14.0,1.0,Atlanta Hawks,1977,7-1,"Crisp County in Cordele, Georgia",Tree Rollins,Center,Right,235lb,821800.0
1833,"February 22, 1986","Louisville, Kentucky",8.5,46.0,31.5,60.5,825,16.2,10.4,4.8,58.4,48.2,University of Kentucky,21.0,1.0,Phoenix Suns,2006,6-1,"Oak Hill Academy in Mouth of Wilson, Virginia",Rajon Rondo,Point Guard,Right,186lb,6967914.0
1834,"September 9, 1969","New York, New York",0.8,45.9,9.1,69.9,749,12.0,6.2,3.8,16.2,45.9,University of Arizona,30.0,2.0,Dallas Mavericks,1992,6-10,"Fontana in Fontana, California",Sean Rooks,Center,Right,250lb,1431083.4
1835,"October 4, 1988","Chicago, Illinois",5.6,45.3,30.4,82.4,546,18.1,18.8,3.5,37.2,47.7,University of Memphis,1.0,1.0,Chicago Bulls,2008,6-3,"Simeon Career Academy in Chicago, Illinois",Derrick Rose,Point Guard,Right,200lb,9938246.0
1836,"January 30, 1973","Detroit, Michigan",3.8,44.3,35.5,80.1,923,15.3,14.3,3.5,47.2,47.7,University of Michigan,13.0,1.0,Denver Nuggets,1994,6-8,"Southwestern in Detroit, Michigan",Jalen Rose,Shooting Guard and Small Forward and Point Guard,Left,210lb,7317018.0
1837,"November 23, 1974","Philadelphia, Pennsylvania",0.8,43.7,17.7,74.3,813,13.4,6.2,4.1,26.5,43.8,Drexel University,44.0,2.0,Charlotte Hornets,1996,6-7,"Overbrook in Philadelphia, Pennsylvania",Malik Rose,Small Forward and Power Forward,Right,250lb,3929915.2
1839,"February 5, 1991","Portland, Oregon",1.1,42.3,37.4,81.9,492,12.6,10.5,2.8,19.2,52.1,University of Washington,8.0,1.0,Toronto Raptors,2012,6-7,"Jefferson in Portland, Oregon",Terrence Ross,Small Forward and Shooting Guard,Right,206lb,5348306.0
1841,"May 26, 1953","Detroit, Michigan",2.0,48.2,11.1,73.5,813,17.9,14.3,9.2,66.5,48.3,Central Michigan University,28.0,2.0,Cleveland Cavaliers,1975,6-8,"Chadsey in Detroit, Michigan",Dan Roundfield,Power Forward,Right,205lb,716625.0
1842,"October 23, 1965","Newark, New Jersey",0.6,45.5,66.7,81.8,82,14.5,5.6,3.3,2.4,45.8,University of North Carolina at Wilmington,34.0,2.0,Indiana Pacers,1987,6-9,"Columbia in Columbia, North Carolina",Brian Rowsom,Power Forward,Right,220lb,100000.0
1843,"July 23, 1984","Seattle, Washington",4.7,45.9,34.8,80.0,326,20.0,18.8,4.3,37.4,49.2,University of Washington,6.0,1.0,Minnesota Timberwolves,2006,6-6,"Garfield in Seattle, Washington",Brandon Roy,Shooting Guard,Right,215lb,9209981.0
1844,"May 22, 1966","New Orleans, Louisiana",1.0,47.3,0.0,77.0,504,12.8,6.3,2.8,19.1,47.3,University of Notre Dame,52.0,3.0,Cleveland Cavaliers,1987,6-8,"Saint Augustine in New Orleans, Louisiana",Donald Royal,Small Forward,Right,210lb,893333.3
1845,"October 31, 1972","Bradenton, Florida",0.6,49.6,18.2,46.5,173,11.9,4.8,5.2,3.9,49.8,"University of North Carolina, University of Louisville",16.0,1.0,Golden State Warriors,1994,6-11,"Southeast in Bradenton, Florida",Clifford Rozier,Center,Right,245lb,711450.0
1846,"March 17, 1994","Youngstown, Ohio",2.3,38.0,35.4,77.7,272,12.8,7.7,3.6,9.9,46.5,University of Louisville,16.0,1.0,Boston Celtics,2015,6-1,"Hargrave Military Academy in Chatham, Virginia",Terry Rozier,Point Guard,Right,190lb,1906440.0
1851,"January 21, 1977","Denver, Colorado",0.6,40.7,0.0,45.9,414,8.5,1.7,3.9,6.8,40.7,University of Tulsa,32.0,2.0,Chicago Bulls,1999,6-9,"Cherry Creek in Englewood, Colorado",Michael Ruffin,Center and Power Forward,Right,246lb,890911.5
1853,"December 16, 1958","Bayshore, New York",3.0,56.4,15.8,71.8,332,18.7,17.4,10.2,34.3,56.4,Iona College,25.0,2.0,Golden State Warriors,1980,6-10,"Sachem in Lake Ronkonkoma, New York",Jeff Ruland,Center and Power Forward,Right,240lb,554500.0
1855,"July 7, 1985","Kansas City, Missouri",1.0,42.6,40.2,70.6,481,9.9,6.8,2.9,11.2,51.8,University of Kansas,13.0,1.0,Portland Trail Blazers,2008,6-6,"Mount Zion Christian Academy in Durham, North Carolina",Brandon Rush,Shooting Guard and Small Forward,Right,220lb,2275880.5
1856,"October 30, 1980","Kansas City, Missouri",1.0,40.0,35.8,70.3,346,9.2,6.4,1.7,1.7,46.6,University of Missouri,20.0,1.0,Toronto Raptors,2002,6-6,"Pembroke Hill in Kansas City, Missouri",Kareem Rush,Shooting Guard and Point Guard,Left,215lb,1078615.9
1857,"December 31, 1970","San Bernardino, California",1.3,43.1,36.9,75.0,841,12.6,7.9,3.5,47.4,49.6,"California State University, Long Beach",45.0,2.0,Utah Jazz,1993,6-7,"San Bernardino in San Bernardino, California",Bryon Russell,Shooting Guard and Small Forward,Right,225lb,1985115.5
1858,"February 23, 1996","Louisville, Kentucky",5.1,41.9,35.3,76.2,272,16.0,16.5,3.7,6.6,49.2,Ohio State University,2.0,1.0,Los Angeles Lakers,2015,6-5,"Montverde Academy in Montverde, Florida",D'Angelo Russell,Point Guard,Left,198lb,5332760.0
1862,"June 6, 1989","Baton Rouge, Louisiana",0.7,43.6,0.0,67.1,189,10.8,4.2,3.1,2.4,43.6,Gonzaga University,60.0,2.0,Los Angeles Lakers,2012,7-0,"Handsworth Secondary School in Vancouver, Canada",Robert Sacre,Center,Right,270lb,789766.75
1863,"May 16, 1964","Brooklyn, New York",1.2,50.6,21.4,71.4,748,12.8,7.0,4.5,41.5,50.6,Georgia Institute of Technology,11.0,1.0,Detroit Pistons,1986,6-11,"Canarsie in Brooklyn, New York",John Salley,Center and Power Forward,Right,230lb,1553300.0
1864,"December 12, 1979","Philadelphia, Pennsylvania",2.4,43.1,36.6,79.9,895,12.1,9.3,2.9,33.9,48.3,University of Miami,26.0,1.0,San Antonio Spurs,2002,6-7,"Plymouth-Whitemarsh in Plymouth Meeting, Pennsylvania",John Salmons,Shooting Guard and Small Forward and Point Guard,Right,210lb,4214914.5
1868,"May 15, 1983","Inglewood, California",0.4,49.1,0.0,53.7,72,13.0,2.0,3.4,1.4,49.1,University of California,47.0,2.0,Utah Jazz,2002,6-11,"Mater Dei in Santa Ana, California",Jamal Sampson,Center and Power Forward,Right,235lb,619777.4
1869,"July 7, 1960","Harrisonburg, Virginia",2.3,48.6,17.2,66.1,456,16.0,15.4,8.8,20.1,48.7,University of Virginia,1.0,1.0,Houston Rockets,1983,7-4,"Harrisonburg in Harrisonburg, Virginia",Ralph Sampson,Power Forward and Center,Right,228lb,1916000.0
1872,"January 14, 1966","Augusta, Georgia",0.5,39.5,-,60.9,55,7.1,2.0,1.9,-0.1,39.5,Georgia Southern University,20.0,1.0,Chicago Bulls,1989,6-8,"T.W. Josey in Augusta, Georgia",Jeff Sanders,Small Forward and Power Forward,Right,225lb,370000.0
1873,"November 21, 1988","Fort Pierce, Florida",0.7,48.0,0.0,55.3,238,15.4,6.4,5.7,10.3,48.0,Virginia Commonwealth University,15.0,1.0,Milwaukee Bucks,2010,6-11,"Port St. Lucie in Port St. Lucie, Florida",Larry Sanders,Power Forward and Center,Right,235lb,2827041.2
1878,"January 13, 1974","Denton, Texas",0.3,41.2,33.3,50.0,14,7.6,2.1,1.1,0.0,42.6,Texas Tech University,41.0,2.0,Sacramento Kings,1996,6-7,"Justin F. Kimball in Dallas, Texas",Jason Sasser,Small Forward,Right,225lb,2706.0
1879,"February 13, 1979","Dallas, Texas",0.8,30.3,29.5,68.7,82,8.3,2.5,2.3,0.7,33.3,Southern Methodist University,22.0,1.0,Orlando Magic,2001,6-6,"Justin F. Kimball in Dallas, Texas",Jeryl Sasser,Shooting Guard,Right,200lb,999003.0
1881,"April 10, 1981","New York, New York",2.3,33.5,21.8,74.6,75,8.3,4.3,1.3,-1.1,35.1,University of Cincinnati,54.0,2.0,Dallas Mavericks,2001,6-2,"Rice in New York, New York",Kenny Satterfield,Point Guard,Right,186lb,422626.0
1883,"March 18, 1978","Long Beach, California",0.8,39.0,34.4,78.3,520,7.7,3.1,2.0,7.6,45.0,University of Southern California,35.0,2.0,New Jersey Nets,2001,6-9,"Enumclaw in Enumclaw, Washington",Brian Scalabrine,Power Forward and Center,Right,241lb,1829698.9
1885,"May 10, 1959","Syracuse, New York",1.1,48.1,13.3,80.6,1138,13.4,7.7,5.0,48.8,48.1,Syracuse University,13.0,1.0,Utah Jazz,1981,6-11,"Jamesville-DeWitt in DeWitt, New York",Danny Schayes,Center and Power Forward,Right,235lb,935626.06
1886,"September 3, 1967","Grand Rapids, Michigan",0.1,55.8,20.0,75.9,174,13.5,1.9,1.0,2.9,56.0,Purdue University,39.0,2.0,Charlotte Hornets,1990,6-9,"Forest Hills Northern in Grand Rapids, Michigan",Steve Scheffler,Center,Left,250lb,234285.72
1888,"October 14, 1968","Brandon, Florida",0.4,40.4,12.5,63.8,217,9.4,2.7,2.5,1.0,40.5,University of Florida,24.0,1.0,San Antonio Spurs,1990,7-1,"Brandon in Brandon, Florida",Dwayne Schintzius,Center,Right,260lb,610055.56
1889,"April 16, 1960","Trenton, Illinois",0.6,43.5,33.5,75.1,290,11.1,5.1,2.5,4.5,45.7,University of Tennessee at Chattanooga,45.0,2.0,Philadelphia 76ers,1982,6-10,"Wesclin in Trenton, Illinois",Russ Schoene,Power Forward,Right,210lb,262500.0
1890,"January 21, 1963","Leverkusen, Germany",3.4,49.1,38.4,80.3,1136,17.2,13.9,6.2,109.5,51.3,University of Washington,8.0,1.0,Dallas Mavericks,1985,6-9,"Centralia in Centralia, Washington",Detlef Schrempf,Small Forward and Power Forward,Right,214lb,2175595.2
1895,"March 28, 1961","Ogden, Utah",2.5,48.2,37.0,83.3,1073,15.5,14.1,2.8,75.2,51.4,Arizona State University,4.0,1.0,San Diego Clippers,1983,6-3,"Morningside in Inglewood, California",Byron Scott,Point Guard and Shooting Guard,Right,195lb,875192.3
1896,"September 5, 1968","Hagerstown, Maryland",2.1,41.7,39.7,79.3,629,13.4,12.9,2.8,33.4,50.2,Georgia Institute of Technology,4.0,1.0,Orlando Magic,1990,6-8,"Flint Hill School in Oakton, Virginia",Dennis Scott,Small Forward and Shooting Guard,Right,229lb,2091250.0
1898,"July 16, 1988","Chesapeake, Virginia",0.9,46.4,36.4,75.5,436,13.2,7.1,3.1,13.3,53.3,University of Virginia,43.0,2.0,Atlanta Hawks,2012,6-8,"Deep Creek in Chesapeake, Virginia",Mike Scott,Power Forward,Right,237lb,2122309.8
1899,"June 16, 1972","New York, New York",0.2,46.4,-,46.5,105,13.1,1.8,2.2,1.3,46.4,St. John's University,43.0,2.0,Portland Trail Blazers,1994,6-10,"All Hallows in Bronx, New York",Shawnelle Scott,Center,Right,250lb,484837.5
1900,"December 4, 1962","Brooklyn, New York",1.1,48.0,25.0,66.6,180,14.1,4.7,2.9,5.3,48.6,Long Island University,37.0,2.0,Utah Jazz,1985,6-7,"Alexander Hamilton in Brooklyn, New York",Carey Scurry,Small Forward,Right,188lb,70000.0
1902,"February 1, 1970","Bronx, New York",1.7,42.6,29.2,80.9,493,13.6,10.1,3.2,17.1,44.4,St. John's University,14.0,1.0,Indiana Pacers,1992,6-8,"Saint Nicholas of Tolentine in Bronx, New York",Malik Sealy,Small Forward and Shooting Guard,Right,190lb,1193750.0
1904,"May 10, 1965","Beirut, Lebanon",1.3,48.4,18.8,67.9,678,15.7,14.7,9.5,37.3,48.4,Syracuse University,9.0,1.0,Miami Heat,1988,6-11,"American School in Athens, Greece",Rony Seikaly,Center,Right,230lb,2768100.0
1905,"March 27, 1991","Baltimore, Maryland",0.9,33.0,14.3,72.0,38,2.7,2.2,0.5,-0.7,34.6,University of Kansas,49.0,2.0,Memphis Grizzlies,2011,6-2,"Lake Clifton in Baltimore, Maryland",Josh Selby,Point Guard,Right,183lb,656097.5
1907,"December 17, 1962","Warrensville Heights, Ohio",1.1,45.2,20.0,79.3,398,11.1,6.3,2.7,9.8,45.4,"University of Wisconsin, Ohio State University",9.0,1.0,Chicago Bulls,1986,7-0,"Warrensville Heights in Warrensville Heights, Ohio",Brad Sellers,Power Forward and Small Forward,Right,210lb,540457.5
1910,"July 29, 1976","Greensboro, North Carolina",0.5,43.4,27.6,64.0,127,11.1,3.2,1.8,1.4,44.5,University of Mississippi,30.0,2.0,Dallas Mavericks,1998,6-9,"Willowridge in Houston, Texas",Ansu Sesay,Small Forward,Left,225lb,562776.7
1911,"April 11, 1986","Myrtle Beach, South Carolina",4.1,43.4,31.6,79.1,691,15.9,10.3,2.7,28.8,45.3,"University of Nevada, Reno",56.0,2.0,Milwaukee Bucks,2007,6-3,"Myrtle Beach in Myrtle Beach, South Carolina",Ramon Sessions,Point Guard and Shooting Guard,Right,190lb,2929349.5
1913,"March 11, 1962","Pensacola, Florida",0.3,25.0,0.0,50.0,21,-2.7,1.0,0.2,-0.4,25.0,Lamar University,22.0,1.0,Philadelphia 76ers,1984,6-5,"Booker T. Washington in Pensacola, Florida",Tom Sewell,Shooting Guard,Right,185lb,150000.0
1914,"April 22, 1966","Kinston, North Carolina",0.6,48.3,0.0,65.4,303,13.1,5.4,4.8,7.3,48.3,North Carolina State University,32.0,2.0,New Jersey Nets,1988,6-10,"Kinston in Kinston, North Carolina",Charles Shackleford,Power Forward and Center,Right,225lb,963000.0
1916,"April 29, 1976","New York, New York",1.8,32.8,0.0,76.7,20,9.2,3.1,0.4,-0.1,32.8,Providence College,45.0,2.0,Washington Wizards,1997,6-0,"La Salle Academy in New York, New York",God Shammgod,Point Guard,Right,169lb,242250.0
1917,"July 18, 1986","Huntsville, Alabama",0.0,36.4,0.0,0.0,8,4.8,1.0,0.4,-0.1,36.4,"Mississippi State University, University of Alabama at Birmingham",32.0,2.0,Seattle SuperSonics,2008,6-9,"A.H. Parker in Birmingham, Alabama",Walter Sharpe,Power Forward,Right,245lb,442114.0
1919,"March 22, 1966","Oakland, California",4.2,40.3,30.4,78.2,943,11.7,6.9,3.4,23.8,43.7,"Saint Mary's College of California, University of California, Santa Barbara",24.0,1.0,Boston Celtics,1988,6-6,"Bishop O'Dowd in Oakland, California",Brian Shaw,Point Guard and Shooting Guard,Right,190lb,1774832.2
1920,"July 20, 1975","Lebanon, Ohio",0.0,12.5,-,-,9,-14.9,0.2,0.3,-0.1,12.5,University of Toledo,37.0,2.0,Philadelphia 76ers,1998,6-11,"Lebanon in Lebanon, Ohio",Casey Shaw,Center,Right,260lb,156250.0
1921,"October 19, 1955","Bakersfield, California",2.2,49.2,9.7,73.8,673,14.2,12.0,6.1,37.5,49.2,Oregon State University,25.0,2.0,New York Knicks,1976,6-8,"Foothill in Bakersfield, California",Lonnie Shelton,Power Forward,Right,240lb,407500.0
1924,"July 2, 1957","Hattiesburg, Mississippi",2.5,47.4,28.2,82.4,842,16.9,17.3,4.3,51.1,47.9,Jackson State University,5.0,1.0,Golden State Warriors,1978,6-7,"Blair in Hattiesburg, Mississippi",Purvis Short,Power Forward and Small Forward and Shooting Guard,Right,210lb,528750.0
1925,"June 26, 1990","Oak Park, Illinois",1.9,39.3,34.0,76.6,446,9.8,7.3,3.4,12.9,47.1,Georgia Institute of Technology,17.0,1.0,New York Knicks,2011,6-5,"Oak Park and River Forest in Oak Park, Illinois",Iman Shumpert,Shooting Guard and Point Guard,Right,215lb,5228756.5
1927,"April 2, 1994","Douala, Cameroon",2.0,53.1,30.9,74.3,216,16.1,10.1,5.1,15.5,56.4,New Mexico State University,27.0,1.0,Toronto Raptors,2016,6-9,"God's Academy in Lewisville, Texas",Pascal Siakam,Power Forward,Right,230lb,1254325.5
1930,"November 14, 1955","Kankakee, Illinois",3.2,46.4,32.8,84.9,1107,17.3,15.6,9.8,112.5,47.1,Illinois Wesleyan University,8.0,1.0,Seattle SuperSonics,1977,6-11,"Saint Anne in Saint Anne, Illinois",Jack Sikma,Center,Right,230lb,1458166.6
1933,"March 9, 1983","Leavenworth, Kansas",0.2,46.9,-,85.4,51,10.5,3.3,1.9,0.9,46.9,University of Kansas,29.0,1.0,Miami Heat,2005,6-9,"Leavenworth in Leavenworth, Kansas",Wayne Simien,Power Forward,Right,255lb,900240.0
1934,"July 20, 1996","Melbourne, Australia",7.9,55.4,0.0,58.3,160,20.0,16.4,8.5,17.5,55.4,Louisiana State University,1.0,1.0,Philadelphia 76ers,2016,6-10,"Montverde Academy in Montverde, Florida",Ben Simmons,Point Guard,Left,230lb,6036000.0
1935,"June 2, 1980","Chicago, Illinois",1.5,43.7,39.6,82.3,466,12.9,9.0,3.8,20.1,49.0,DePaul University,42.0,2.0,Seattle SuperSonics,2001,6-7,"Simeon Career Academy in Chicago, Illinois",Bobby Simmons,Shooting Guard and Power Forward and Small Forward,Right,210lb,4199653.5
1936,"January 3, 1986","Shallotte, North Carolina",0.2,40.9,-,39.0,75,7.3,2.2,1.9,0.1,40.9,North Carolina State University,15.0,1.0,New Orleans/Oklahoma City Hornets,2006,6-9,"West Brunswick in Shallotte, North Carolina",Cedric Simmons,Power Forward,Right,235lb,1629120.0
1938,"November 14, 1968","Philadelphia, Pennsylvania",3.3,43.3,30.5,77.1,454,14.7,12.8,6.2,16.9,43.7,La Salle University,7.0,1.0,Sacramento Kings,1990,6-7,"South Philadelphia in Philadelphia, Pennsylvania",Lionel Simmons,Small Forward,Right,210lb,2381377.8
1939,"November 21, 1975","Stockholm, Sweden",0.0,20.0,0.0,-,5,-7.2,0.4,0.4,-0.1,20.0,University of Arizona,42.0,2.0,Orlando Magic,1998,6-3,"Mater Dei in Santa Ana, California",Miles Simon,Shooting Guard,Right,202lb,336250.0
1940,"April 6, 1972","Fort Washington, Maryland",0.9,44.0,22.2,61.8,327,9.5,4.2,3.6,4.7,44.1,Providence College,21.0,1.0,Chicago Bulls,1994,6-9,"Friendly in Fort Washington, Maryland",Dickey Simpkins,Power Forward and Center,Right,248lb,882698.3
1943,"May 4, 1988","Medford, Oregon",0.8,41.8,36.2,78.6,356,9.5,6.5,2.9,10.0,49.3,Duke University,33.0,2.0,Detroit Pistons,2011,6-8,"South Medford in Medford, Oregon",Kyle Singler,Small Forward,Right,228lb,2939833.2
1944,"September 6, 1985","Philadelphia, Pennsylvania",0.8,36.5,40.0,85.7,37,6.7,2.4,0.9,0.0,42.4,University of Virginia,42.0,2.0,Sacramento Kings,2008,6-0,"William Penn Charter School in Philadelphia, Pennsylvania",Sean Singletary,Point Guard,Right,185lb,442114.0
1945,"November 21, 1989","Canton, Georgia",0.6,37.6,31.9,63.3,148,8.2,4.1,3.2,2.3,42.3,Florida State University,18.0,1.0,Washington Wizards,2011,6-8,"Dunwoody in Dunwoody, Georgia",Chris Singleton,Small Forward and Power Forward,Right,230lb,1566680.0
1947,"October 24, 1990","Seattle, Washington",1.4,31.6,28.0,73.3,24,5.7,2.3,0.6,-0.2,37.7,University of Louisville,56.0,2.0,Detroit Pistons,2013,6-0,"Franklin in Seattle, Washington",Peyton Siva,Shooting Guard,Right,185lb,100000.0
1948,"March 5, 1964","LaPorte, Indiana",6.5,43.5,37.9,88.9,600,14.4,11.1,2.5,30.4,48.5,Michigan State University,22.0,1.0,Milwaukee Bucks,1986,6-1,"Plymouth in Plymouth, Indiana",Scott Skiles,Point Guard,Right,180lb,1127428.6
1949,"May 19, 1976","Temple, Texas",0.5,49.4,33.3,56.6,608,12.0,4.7,4.7,15.8,49.4,Baylor University,22.0,1.0,Los Angeles Clippers,1998,6-9,"Temple in Temple, Texas",Brian Skinner,Center and Power Forward,Right,255lb,1777323.2
1951,"April 2, 1980","Beckley, West Virginia",0.5,36.1,26.5,53.8,66,6.5,2.6,1.1,-0.3,39.4,Marshall University,54.0,2.0,New Jersey Nets,2002,6-8,"Woodrow Wilson in Beckley, West Virginia",Tamar Slay,Shooting Guard,Right,215lb,536061.0
1954,"March 6, 1994","Flower Mound, Texas",3.9,37.2,31.0,76.4,341,11.8,9.3,3.5,16.2,45.1,Oklahoma State University,6.0,1.0,Boston Celtics,2014,6-4,"Edward S. Marcus in Flower Mound, Texas",Marcus Smart,Shooting Guard and Point Guard,Right,220lb,3707815.0
1955,"July 16, 1965","Bridgeport, Connecticut",1.4,47.5,19.4,77.4,564,15.7,14.4,5.8,40.9,47.7,University of Pittsburgh,3.0,1.0,Philadelphia 76ers,1988,6-10,"Warren Harding in Bridgeport, Connecticut",Charles Smith,Power Forward and Small Forward,Right,230lb,2496028.5
1957,"August 22, 1975","Fort Worth, Texas",0.9,40.9,28.8,60.6,142,11.5,5.1,1.4,1.5,45.9,University of New Mexico,26.0,1.0,Miami Heat,1997,6-4,"Dunbar in Fort Worth, Texas",Charles Smith,Shooting Guard,Right,194lb,670941.3
1958,"May 17, 1970","Bridgeport, Connecticut",2.8,43.5,36.6,71.3,224,10.7,5.1,1.3,3.2,46.6,University of Connecticut,34.0,2.0,Minnesota Timberwolves,1992,6-3,"Kolbe Cathedral in Bridgeport, Connecticut",Chris Smith,Shooting Guard and Point Guard,Right,190lb,275000.0
1959,"November 10, 1983","Inglewood, California",0.8,55.3,3.7,66.1,403,16.2,7.6,3.9,16.0,55.3,Boston College,36.0,2.0,Minnesota Timberwolves,2006,6-7,"Fairfax in Los Angeles, California",Craig Smith,Power Forward,Right,250lb,1565475.6
1960,"November 25, 1997","Fayetteville, North Carolina",5.0,40.7,31.6,66.8,122,12.6,14.5,3.4,-0.7,45.9,North Carolina State University,9.0,1.0,Dallas Mavericks,2017,6-3,"Trinity Christian in Fayetteville, North Carolina",Dennis Smith Jr.,Point Guard,Right,195lb,3218280.0
1961,"November 1, 1961","Hogansville, Georgia",2.1,49.9,29.4,75.3,408,15.1,12.8,3.2,18.3,50.4,University of Louisville,35.0,2.0,Golden State Warriors,1982,6-6,"Hogansville in Hogansville, Georgia",Derek Smith,Shooting Guard and Small Forward,Right,205lb,583000.0
1962,"November 27, 1983","Louisville, Kentucky",0.8,42.1,30.8,65.0,61,11.1,2.7,1.1,0.5,45.0,Southeastern Illinois College,34.0,2.0,Atlanta Hawks,2004,6-7,"Oldham County in LaGrange, Kentucky",Donta Smith,Shooting Guard,Right,215lb,533374.0
1963,"September 17, 1969","Detroit, Michigan",1.4,42.5,8.3,77.3,296,11.7,8.0,4.2,3.0,42.6,University of Missouri,6.0,1.0,Dallas Mavericks,1991,6-10,"MacKenzie in Detroit, Michigan",Doug Smith,Power Forward,Right,220lb,1479000.0
1967,"February 12, 1977","Atlanta, Georgia",0.6,41.3,12.5,69.0,108,9.7,3.0,1.6,1.3,41.4,Louisiana State University,45.0,2.0,Sacramento Kings,2000,6-11,"Booker T. Washington in Atlanta, Georgia",Jabari Smith,Center and Power Forward,Right,250lb,535386.0
1968,"March 2, 1986","Greeley, Colorado",0.7,46.8,33.3,78.3,616,12.9,6.1,3.4,14.1,48.0,Colorado State University,20.0,1.0,Miami Heat,2007,7-0,"Platte Valley in Kersey, Colorado",Jason Smith,Center and Power Forward,Right,240lb,2860908.5
1969,"July 26, 1975","Norfolk, Virginia",1.0,45.5,23.8,79.0,1030,15.4,10.9,6.4,60.3,45.6,University of Maryland,1.0,1.0,Golden State Warriors,1995,6-10,"Maury in Norfolk, Virginia",Joe Smith,Small Forward and Center and Power Forward,Right,225lb,3826299.8
1971,"March 8, 1965","Queens, New York",5.5,48.0,39.9,82.9,737,14.9,12.8,2.0,46.8,52.5,University of North Carolina,6.0,1.0,Sacramento Kings,1987,6-3,"Archbishop Molloy in Jamaica, New York",Kenny Smith,Point Guard,Right,170lb,1463566.6
1972,"April 3, 1969","Bay City, Texas",2.2,43.2,29.8,81.3,183,10.8,6.7,1.5,1.5,44.6,University of Louisville,19.0,1.0,Washington Bullets,1991,6-3,"Bay City in Bay City, Texas",LaBradford Smith,Shooting Guard,Right,200lb,773333.3
1973,"January 18, 1958","Rolling Fork, Mississippi",1.1,53.1,0.0,53.1,883,12.6,6.7,9.2,46.0,53.1,Alcorn State University,24.0,2.0,Golden State Warriors,1980,6-8,"Simmons in Hollandale, Mississippi",Larry Smith,Power Forward,Right,215lb,621000.0
1975,"May 19, 1965","Rochester, New York",1.0,47.4,15.0,83.5,141,14.0,5.0,1.5,1.4,48.1,Brigham Young University,13.0,1.0,Boston Celtics,1989,6-10,"Los Altos in Hacienda Heights, California",Michael Smith,Power Forward,Right,225lb,600000.0
1976,"March 28, 1972","Washington, District of Columbia",1.5,53.8,14.3,52.9,449,13.9,5.6,7.1,23.4,53.8,Providence College,35.0,2.0,Sacramento Kings,1994,6-8,"Dunbar in Washington, District of Columbia",Michael Smith,Power Forward and Small Forward,Left,230lb,1713333.4
1977,"April 15, 1976","West Monroe, Louisiana",0.6,32.2,16.7,62.5,17,8.1,3.0,1.3,-0.1,34.7,University of Louisiana at Monroe,35.0,2.0,Washington Wizards,2000,6-8,"West Monroe in West Monroe, Louisiana",Mike Smith,Small Forward,Right,195lb,316969.0
1978,"July 25, 1988","Louisville, Kentucky",1.2,37.1,26.0,71.4,84,7.5,3.3,1.0,-0.8,40.3,Duke University,21.0,1.0,Portland Trail Blazers,2011,6-2,"Oak Hill Academy in Mouth of Wilson, Virginia",Nolan Smith,Point Guard,Right,185lb,1355940.0
1979,"January 30, 1964","Jacksonville, Florida",1.8,45.5,25.1,76.2,375,15.7,10.5,3.8,12.3,46.2,Jacksonville University,41.0,2.0,Denver Nuggets,1986,6-5,"Forrest in Jacksonville, Florida",Otis Smith,Small Forward and Shooting Guard,Right,210lb,323750.0
1980,"August 21, 1970","San Jose, California",0.1,39.4,0.0,40.4,66,9.1,1.5,1.8,0.4,39.4,Texas Christian University,31.0,2.0,Portland Trail Blazers,1992,6-10,"Leland in San Jose, California",Reggie Smith,Center and Power Forward,Right,240lb,316500.0
